serialno,brokersymbol,exchangesymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barstarttime,streaming,strikedistance,strategy
491,HEXAWARE,HEXAWARE,HEXAWARE,STK,NSE,,INR,,,,1,,10,5.0,NONE
492,RELINFRA,RELINFRA,RELINFRA,STK,NSE,,INR,,,,1,,10,20.0,NONE
493,SUZLON,SUZLON,SUZLON,STK,NSE,,INR,,,,1,,10,2.5,NONE
494,BAJAJFINS,BAJAJFINSV,BAJAJFINSV,STK,NSE,,INR,,,,1,,10,50.0,NONE
495,HEROMOTOC,HEROMOTOCO,HEROMOTOCO,STK,NSE,,INR,,,,1,,10,50.0,NONE
496,MCDOWELL-,MCDOWELL-N,MCDOWELL-N,STK,NSE,,INR,,,,1,,10,50.0,NONE
497,SHARDACRO,SHARDACROP,SHARDACROP,STK,NSE,,INR,,,,1,,10,0,NONE
498,ZENSARTEC,ZENSARTECH,ZENSARTECH,STK,NSE,,INR,,,,1,,10,0,NONE
499,INFRATEL,INFRATEL,INFRATEL,STK,NSE,,INR,,,,1,,10,10.0,NONE
500,TIMETECHN,TIMETECHNO,TIMETECHNO,STK,NSE,,INR,,,,1,,10,0,NONE
501,RELIANCE,RELIANCE,RELIANCE,STK,NSE,,INR,,,,1,,10,20.0,NONE
502,DCMSHRIRA,DCMSHRIRAM,DCMSHRIRAM,STK,NSE,,INR,,,,1,,10,0,NONE
504,END,END,END,END,END,END,END,END,,,0,,100,0,EXTRA
