serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,contractID,additionalInput,longvolume,shortvolume,aggression,minsize,barsstarttime,trailstop,preopen,streamingpriority,strategy
170,BEDMUTHA,BEDMUTHA,STK,NSE,,INR,,,,,2000,100000,-500000,0,-292000,,0.05,N,100,ADR
171,BEML,BEML,STK,NSE,,INR,,,,,2000,100000,-500000,0,-293750,,0.05,N,100,ADR
172,BERGEPAIN,BERGEPAIN,STK,NSE,,INR,,,,,2000,100000,-500000,0,-295500,,0.05,N,100,ADR
173,BECREL,BECREL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-297250,,0.05,N,100,ADR
174,BFINVEST,BFINVEST,STK,NSE,,INR,,,,,2000,100000,-500000,0,-299000,,0.05,N,100,ADR
175,BFUTILITI,BFUTILITI,STK,NSE,,INR,,,,,2000,100000,-500000,0,-300750,,0.05,N,100,ADR
176,BGRENERGY,BGRENERGY,STK,NSE,,INR,,,,,2000,100000,-500000,0,-302500,,0.05,N,100,ADR
177,TGBHOTELS,TGBHOTELS,STK,NSE,,INR,,,,,2000,100000,-500000,0,-304250,,0.05,N,100,ADR
178,BHAGYNAGA,BHAGYNAGA,STK,NSE,,INR,,,,,2000,100000,-500000,0,-306000,,0.05,N,100,ADR
179,BEPL,BEPL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-307750,,0.05,N,100,ADR
180,BBL,BBL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-309500,,0.05,N,100,ADR
181,BEL,BEL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-311250,,0.05,N,100,ADR
182,BHARATFOR,BHARATFOR,STK,NSE,,INR,,,,,2000,100000,-500000,0,-313000,,0.05,N,100,ADR
183,BHARATGEA,BHARATGEA,STK,NSE,,INR,,,,,2000,100000,-500000,0,-314750,,0.05,N,100,ADR
184,BHEL,BHEL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-316500,,0.05,N,100,ADR
185,BPCL,BPCL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-318250,,0.05,N,100,ADR
186,BHARATRAS,BHARATRAS,STK,NSE,,INR,,,,,2000,100000,-500000,0,-320000,,0.05,N,100,ADR
187,BHARTISHI,BHARTISHI,STK,NSE,,INR,,,,,2000,100000,-500000,0,-321750,,0.05,N,100,ADR
188,BGLOBAL,BGLOBAL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-323500,,0.05,N,100,ADR
189,BHARTIART,BHARTIART,STK,NSE,,INR,,,,,2000,100000,-500000,0,-325250,,0.05,N,100,ADR
190,INFRATEL,INFRATEL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-327000,,0.05,N,100,ADR
191,BIL,BIL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-328750,,0.05,N,100,ADR
192,BHUSANSTL,BHUSANSTL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-330500,,0.05,N,100,ADR
193,BILENERGY,BILENERGY,STK,NSE,,INR,,,,,2000,100000,-500000,0,-332250,,0.05,N,100,ADR
194,BILPOWER,BILPOWER,STK,NSE,,INR,,,,,2000,100000,-500000,0,-334000,,0.05,N,100,ADR
195,BIMETAL,BIMETAL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-335750,,0.05,N,100,ADR
196,BINANIIND,BINANIIND,STK,NSE,,INR,,,,,2000,100000,-500000,0,-337500,,0.05,N,100,ADR
197,BIOCON,BIOCON,STK,NSE,,INR,,,,,2000,100000,-500000,0,-339250,,0.05,N,100,ADR
198,BIRLACORP,BIRLACORP,STK,NSE,,INR,,,,,2000,100000,-500000,0,-341000,,0.05,N,100,ADR
199,BIRLACOT,BIRLACOT,STK,NSE,,INR,,,,,2000,100000,-500000,0,-342750,,0.05,N,100,ADR
200,BIRLAERIC,BIRLAERIC,STK,NSE,,INR,,,,,2000,100000,-500000,0,-344500,,0.05,N,100,ADR
201,BSLGOLDET,BSLGOLDET,STK,NSE,,INR,,,,,2000,100000,-500000,0,-346250,,0.05,N,100,ADR
202,BSLNIFTY,BSLNIFTY,STK,NSE,,INR,,,,,2000,100000,-500000,0,-348000,,0.05,N,100,ADR
203,BLKASHYAP,BLKASHYAP,STK,NSE,,INR,,,,,2000,100000,-500000,0,-349750,,0.05,N,100,ADR
204,BLBLIMITE,BLBLIMITE,STK,NSE,,INR,,,,,2000,100000,-500000,0,-351500,,0.05,N,100,ADR
205,BLISSGVS,BLISSGVS,STK,NSE,,INR,,,,,2000,100000,-500000,0,-353250,,0.05,N,100,ADR
206,BLUECHIP,BLUECHIP,STK,NSE,,INR,,,,,2000,100000,-500000,0,-355000,,0.05,N,100,ADR
207,BLUECOAST,BLUECOAST,STK,NSE,,INR,,,,,2000,100000,-500000,0,-356750,,0.05,N,100,ADR
