[Thu Sep 05 14:57:00 IST 2013] INFO: ,Symbol,BarNo,HighestHigh,LowestLow,LastPrice,Volume,CumulativeVol,VolumeSlope,MinSlopeReqd,MA,LongVolume,ShortVolume,DateTime,ruleHighestHigh,ruleCumVolumeLong,ruleSlopeLong,ruleVolumeLong,ruleLowestLow,ruleCumVolumeShort,ruleSlopeShort,ruleVolumeShort 
[Thu Sep 05 14:57:17 IST 2013] INFO: ,BHARTIART,1,9.99999999E8,0.0,298.3,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:17 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:18 IST 2013] INFO: ,INFY,1,9.99999999E8,0.0,3029.75,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:18 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:18 IST 2013] INFO: ,NIFTY50,1,9.99999999E8,0.0,5608.7,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:18 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:19 IST 2013] INFO: ,INFY,1,9.99999999E8,0.0,3030.0,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:19 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:19 IST 2013] INFO: ,NIFTY50,1,9.99999999E8,0.0,5608.9,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:19 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:19 IST 2013] INFO: ,BHARTIART,1,9.99999999E8,0.0,298.45,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:19 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:20 IST 2013] INFO: ,ADANIENT,1,9.99999999E8,0.0,136.6,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:20 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:20 IST 2013] INFO: ,NIFTY50,1,9.99999999E8,0.0,5607.4,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:20 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:21 IST 2013] INFO: ,NIFTY50,1,9.99999999E8,0.0,5607.95,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:21 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:22 IST 2013] INFO: ,AXISBANK,1,9.99999999E8,0.0,919.0,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:22 IST,false,false,false,false,false,true,false,false 
