serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,contractID,additionalInput,longvolume,shortvolume,aggression,minsize,barsstarttime,trailstop,preopen,streamingpriority,strategy
111,ANIKINDS,ANIKINDS,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
112,ANKITMETA,ANKITMETA,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
113,ANSALHSG,ANSALHSG,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
114,ANSALAPI,ANSALAPI,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
115,ANTGRAPHI,ANTGRAPHI,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
116,APARINDS,APARINDS,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
117,APCOTEXIN,APCOTEXIN,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
118,APLAPOLLO,APLAPOLLO,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
119,APLAB,APLAB,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
120,APOLLOHOS,APOLLOHOS,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
121,APOLLOTYR,APOLLOTYR,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
122,APTECHT,APTECHT,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
123,ARCHIDPLY,ARCHIDPLY,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
124,ARCHIES,ARCHIES,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
125,ALSTOMTD,ALSTOMTD,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
126,ARIES,ARIES,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
127,ARIHANT,ARIHANT,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
128,AROGRANIT,AROGRANIT,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
129,ARROWTEX,ARROWTEX,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
130,ARSHIYA,ARSHIYA,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
