serialno,brokersymbol,exchangesymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barstarttime,streaming,strategy
62,DABUR,DABUR,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
63,DISHTV,DISHTV,,FUT,NSE,,INR,20150730,,,4000,,4,DATA
64,DLF,DLF,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
65,KTKBANK,KTKBANK,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
66,LICHSGFIN,LICHSGFIN,,FUT,NSE,,INR,20150730,,,500,,4,DATA
67,MMFS,M&MFIN,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
68,MCLEODRUS,MCLEODRUSS,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
69,NTPC,NTPC,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
70,OFSS,OFSS,,FUT,NSE,,INR,20150730,,,125,,4,DATA
71,OIL,OIL,,FUT,NSE,,INR,20150730,,,500,,4,DATA
72,ORIENTBAN,ORIENTBANK,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
73,PAGEIND,PAGEIND,,FUT,NSE,,INR,20150730,,,125,,4,DATA
74,PIDILITIN,PIDILITIND,,FUT,NSE,,INR,20150730,,,500,,4,DATA
75,PNB,PNB,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
76,POWERGRID,POWERGRID,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
77,PTC,PTC,,FUT,NSE,,INR,20150730,,,4000,,4,DATA
78,RCOM,RCOM,,FUT,NSE,,INR,20150730,,,4000,,4,DATA
79,RECLTD,RECLTD,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
80,RELCAPITA,RELCAPITAL,,FUT,NSE,,INR,20150730,,,500,,4,DATA
81,RELINFRA,RELINFRA,,FUT,NSE,,INR,20150730,,,500,,4,DATA
82,GRASIM,GRASIM,,FUT,NSE,,INR,20150730,,,125,,4,DATA
83,HAVELLS,HAVELLS,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
84,RPOWER,RPOWER,,FUT,NSE,,INR,20150730,,,4000,,4,DATA
85,SKSMICRO,SKSMICRO,,FUT,NSE,,INR,20150730,,,500,,4,DATA
86,HDFCBANK,HDFCBANK,,FUT,NSE,,INR,20150730,,,250,,4,DATA
87,HEROMOTOC,HEROMOTOCO,,FUT,NSE,,INR,20150730,,,125,,4,DATA
88,HINDALCO,HINDALCO,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
89,CROMPGREA,CROMPGREAV,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
90,SRF,SRF,,FUT,NSE,,INR,20150730,,,250,,4,DATA
91,SUNTV,SUNTV,,FUT,NSE,,INR,20150730,,,500,,4,DATA
92,SYNDIBANK,SYNDIBANK,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
93,TATAMOTOR,TATAMOTORS,,FUT,NSE,,INR,20150730,,,500,,4,DATA
94,TCS,TCS,,FUT,NSE,,INR,20150730,,,125,,4,DATA
95,TITAN,TITAN,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
96,TVSMOTOR,TVSMOTOR,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
97,IDBI,IDBI,,FUT,NSE,,INR,20150730,,,4000,,4,DATA
98,IFCI,IFCI,,FUT,NSE,,INR,20150730,,,8000,,4,DATA
99,ULTRACEMC,ULTRACEMCO,,FUT,NSE,,INR,20150730,,,125,,4,DATA
100,INDUSINDB,INDUSINDBK,,FUT,NSE,,INR,20150730,,,250,,4,DATA
101,VEDL,VEDL,,FUT,NSE,,INR,20150730,,,2000,,4,DATA
102,INFY,INFY,,FUT,NSE,,INR,20150730,,,250,,4,DATA
103,IRB,IRB,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
104,ITC,ITC,,FUT,NSE,,INR,20150730,,,1000,,4,DATA
