Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
ATUL LIMITED,ATUL,ATUL,INR,56988433,NSE,STK
AURIONPRO SOLUTIONS LTD,AURIONPRO,AURIONPRO,INR,75733323,NSE,STK
AUROBINDO PHARMA LTD,AUROPHARM,AUROPHARMA,INR,83937139,NSE,STK
AUSOM ENTERPRISE LTD,AUSOMENT,AUSOMENT,INR,56985299,NSE,STK
AUTOLINE INDUSTRIES LTD,AUTOIND,AUTOIND,INR,56988456,NSE,STK
AUTOLITE (INDIA) LIMITED,AUTOLITIN,AUTOLITIND,INR,56988436,NSE,STK
AUTOMOTIVE AXLES LIMITED,AUTOAXLES,AUTOAXLES,INR,56988450,NSE,STK
AUTOMOTIVE STAMPINGS & ASSEM,ASAL,ASAL,INR,56988446,NSE,STK
AVANTI FEEDS LTD,AVANTIFEE,AVANTIFEED,INR,62062916,NSE,STK
AVT NATURAL PRODUCTS LTD,AVTNPL,AVTNPL,INR,108449226,NSE,STK
AXIS BANK LTD,AXISBANK,AXISBANK,INR,162089869,NSE,STK
AXIS GOLD ETF,AXISGOLD,AXISGOLD,INR,80961427,NSE,STK
AXISCADES ENGINEERING TECHNO,AXISCADES,AXISCADES,INR,56988470,NSE,STK
B. L. KASHYAP AND SONS LTD,BLKASHYAP,BLKASHYAP,INR,79508953,NSE,STK
B.A.G. FILMS & MEDIA LTD,BAGFILMS,BAGFILMS,INR,56987840,NSE,STK
BAFNA PHARMACEUTICALS LTD,BAFNAPHAR,BAFNAPHARM,INR,64683040,NSE,STK
BAJAJ AUTO LIMITED,BAJAJ-AUT,BAJAJ-AUTO,INR,56987980,NSE,STK
BAJAJ CORP LTD,BAJAJCORP,BAJAJCORP,INR,87760451,NSE,STK
BAJAJ ELECTRICALS LIMITED,BAJAJELEC,BAJAJELEC,INR,72175378,NSE,STK
BAJAJ FINANCE LTD,BAJFINANC,BAJFINANCE,INR,56987837,NSE,STK
BAJAJ FINSERV LTD,BAJAJFINS,BAJAJFINSV,INR,56987991,NSE,STK
BAJAJ HINDUSTHAN SUGAR LTD,BAJAJHIND,BAJAJHIND,INR,56987992,NSE,STK
BAJAJ HOLDINGS AND INVESTMEN,BAJAJHLDN,BAJAJHLDNG,INR,44652102,NSE,STK
BAL PHARMA LIMITED,BALPHARMA,BALPHARMA,INR,56988026,NSE,STK
BALAJI AMINES LIMITED,BALAMINES,BALAMINES,INR,80959440,NSE,STK
BALAJI TELEFILMS LTD,BALAJITEL,BALAJITELE,INR,56988021,NSE,STK
BALKRISHNA INDUSTRIES LTD,BALKRISIN,BALKRISIND,INR,81899870,NSE,STK
BALLARPUR INDUSTRIES LTD,BALLARPUR,BALLARPUR,INR,56987966,NSE,STK
BALMER LAWRIE & CO LTD,BALMLAWRI,BALMLAWRIE,INR,56988016,NSE,STK
BALRAMPUR CHINI MILLS LTD,BALRAMCHI,BALRAMCHIN,INR,56988077,NSE,STK
BANARAS BEADS LTD,BANARBEAD,BANARBEADS,INR,128471880,NSE,STK
BANCO PRODUCTS (INDIA) LTD,BANCOINDI,BANCOINDIA,INR,56988042,NSE,STK
BANG OVERSEAS LIMITED,BANG,BANG,INR,56987850,NSE,STK
BANK OF BARODA,BANKBAROD,BANKBARODA,INR,180222138,NSE,STK
BANK OF INDIA,BANKINDIA,BANKINDIA,INR,56988052,NSE,STK
BANK OF MAHARASHTRA,MAHABANK,MAHABANK,INR,56988059,NSE,STK
BANNARI AMMAN SPINNING MILLS,BASML,BASML,INR,56987857,NSE,STK
BANNARI AMMAN SUGARS LTD,BANARISUG,BANARISUG,INR,56988047,NSE,STK
BANSWARA SYNTEX LIMITED,BANSWRAS,BANSWRAS,INR,56988122,NSE,STK
BARAK VALLEY CEMENTS LIMITED,BVCL,BVCL,INR,56988112,NSE,STK
BARTRONICS INDIA LTD,BARTRONIC,BARTRONICS,INR,56987845,NSE,STK
BASF INDIA LIMITED,BASF,BASF,INR,56987855,NSE,STK
BATA INDIA LIMITED,BATAINDIA,BATAINDIA,INR,56987860,NSE,STK
BAYER CROPSCIENCE LTD,BAYERCROP,BAYERCROP,INR,64682707,NSE,STK
BEARDSELL LTD,BEARDSELL,BEARDSELL,INR,76142607,NSE,STK
BEDMUTHA INDUSTRIES LTD,BEDMUTHA,BEDMUTHA,INR,79917388,NSE,STK
BEML LIMITED,BEML,BEML,INR,56987900,NSE,STK
BERGER PAINTS INDIA LTD,BRGR,BERGEPAINT,INR,179252695,NSE,STK
BF INVESTMENT LTD,BFINVEST,BFINVEST,INR,82847286,NSE,STK
BF UTILITIES LTD,BFUTILITI,BFUTILITIE,INR,56987912,NSE,STK
BGR ENERGY SYSTEMS LIMITED,BGRENERGY,BGRENERGY,INR,56987923,NSE,STK
BHAGYANAGAR INDIA LTD,BHAGYNAGA,BHAGYNAGAR,INR,56987932,NSE,STK
BHANSALI ENGINEERNG POLYMER,BEPL,BEPL,INR,56987911,NSE,STK
BHARAT BIJLEE LIMITED,BBL,BBL,INR,56987953,NSE,STK
BHARAT ELECTRONICS LIMITED,BEL,BEL,INR,56987926,NSE,STK
BHARAT FORGE LIMITED,BHARATFOR,BHARATFORG,INR,56987929,NSE,STK
BHARAT GEARS LIMITED,BHARATGEA,BHARATGEAR,INR,56987917,NSE,STK
BHARAT HEAVY ELECTRICALS,BHEL,BHEL,INR,95441327,NSE,STK
BHARAT PETROLEUM CORP LTD,BPCL,BPCL,INR,44652160,NSE,STK
BHARAT RASAYAN LIMITED,BHARATRAS,BHARATRAS,INR,56988100,NSE,STK
BHARATIYA GLOBAL INFOMEDIA L,BGLOBAL,BGLOBAL,INR,91861621,NSE,STK
BHARTI AIRTEL LIMITED,BHARTIART,BHARTIARTL,INR,64769335,NSE,STK
BHARTI INFRATEL LTD,INFRATEL,INFRATEL,INR,119707173,NSE,STK
BHARTIYA INTERNATIONAL LTD,BIL,BIL,INR,56987941,NSE,STK
BHUSHAN STEEL LTD,BHUSANSTL,BHUSANSTL,INR,79346231,NSE,STK
BIL ENERGY SYSTEMS LTD,BILENERGY,BILENERGY,INR,124912356,NSE,STK
