serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barstarttime,streaming,strategy
101,TATAMTRDV,TATAMTRDVR,FUT,NSE,,INR,20150625,,,1010,,4,DATA
102,UBL,UBL,FUT,NSE,,INR,20150625,,,250,,4,DATA
103,UCOBANK,UCOBANK,FUT,NSE,,INR,20150625,,,4000,,4,DATA
104,UNITECH,UNITECH,FUT,NSE,,INR,20150625,,,9000,,4,DATA
105,NMDC,NMDC,FUT,NSE,,INR,20150625,,,2000,,4,DATA
106,UPL,UPL,FUT,NSE,,INR,20150625,,,500,,4,DATA
107,WIPRO,WIPRO,FUT,NSE,,INR,20150625,,,500,,4,DATA
108,YESBANK,YESBANK,FUT,NSE,,INR,20150625,,,250,,4,DATA
109,ONGC,ONGC,FUT,NSE,,INR,20150625,,,500,,4,DATA
110,HINDUNILV,HINDUNILVR,FUT,NSE,,INR,20150625,,,250,,4,DATA
111,ORIENTBAN,ORIENTBANK,FUT,NSE,,INR,20150625,,,1000,,4,DATA
112,ICICIBANK,ICICIBANK,FUT,NSE,,INR,20150625,,,1250,,4,DATA
113,POWERGRID,POWERGRID,FUT,NSE,,INR,20150625,,,2000,,4,DATA
114,RELCAPITA,RELCAPITAL,FUT,NSE,,INR,20150625,,,500,,4,DATA
115,RELIANCE,RELIANCE,FUT,NSE,,INR,20150625,,,250,,4,DATA
116,RELINFRA,RELINFRA,FUT,NSE,,INR,20150625,,,500,,4,DATA
117,JUBLFOOD,JUBLFOOD,FUT,NSE,,INR,20150625,,,250,,4,DATA
118,RPOWER,RPOWER,FUT,NSE,,INR,20150625,,,4000,,4,DATA
119,SAIL,SAIL,FUT,NSE,,INR,20150625,,,4000,,4,DATA
120,SBIN,SBIN,FUT,NSE,,INR,20150625,,,1250,,4,DATA
121,KOTAKBANK,KOTAKBANK,FUT,NSE,,INR,20150625,,,250,,4,DATA
122,KSCL,KSCL,FUT,NSE,,INR,20150625,,,250,,4,DATA
123,SRTRANSFI,SRTRANSFIN,FUT,NSE,,INR,20150625,,,250,,4,DATA
124,SYNDIBANK,SYNDIBANK,FUT,NSE,,INR,20150625,,,2000,,4,DATA
125,TATAGLOBA,TATAGLOBAL,FUT,NSE,,INR,20150625,,,2000,,4,DATA
126,TATAPOWER,TATAPOWER,FUT,NSE,,INR,20150625,,,4000,,4,DATA
127,AXISBANK,AXISBANK,FUT,NSE,,INR,20150625,,,500,,4,DATA
128,TCS,TCS,FUT,NSE,,INR,20150625,,,125,,4,DATA
129,TECHM,TECHM,FUT,NSE,,INR,20150625,,,500,,4,DATA
130,TITAN,TITAN,FUT,NSE,,INR,20150625,,,1000,,4,DATA
131,TVSMOTOR,TVSMOTOR,FUT,NSE,,INR,20150625,,,1000,,4,DATA
132,ULTRACEMC,ULTRACEMCO,FUT,NSE,,INR,20150625,,,125,,4,DATA
133,WOCKPHARM,WOCKPHARMA,FUT,NSE,,INR,20150625,,,125,,4,DATA
134,CESC,CESC,FUT,NSE,,INR,20150625,,,500,,4,DATA
135,ZEEL,ZEEL,FUT,NSE,,INR,20150625,,,1000,,4,DATA
136,OIL,OIL,FUT,NSE,,INR,20150625,,,500,,4,DATA
137,PAGEIND,PAGEIND,FUT,NSE,,INR,20150625,,,125,,4,DATA
138,HDIL,HDIL,FUT,NSE,,INR,20150625,,,2000,,4,DATA
139,HINDZINC,HINDZINC,FUT,NSE,,INR,20150625,,,2000,,4,DATA
140,IBREALEST,IBREALEST,FUT,NSE,,INR,20150625,,,4000,,4,DATA
141,MMFS,MMFIN,FUT,NSE,,INR,20150625,,,1000,,4,DATA
142,MCLEODRUS,MCLEODRUSS,FUT,NSE,,INR,20150625,,,1000,,4,DATA
143,SRF,SRF,FUT,NSE,,INR,20150625,,,250,,4,DATA
144,TATASTEEL,TATASTEEL,FUT,NSE,,INR,20150625,,,500,,4,DATA
145,UNIONBANK,UNIONBANK,FUT,NSE,,INR,20150625,,,1000,,4,DATA
146,NTPC,NTPC,FUT,NSE,,INR,20150625,,,2000,,4,DATA
147,VEDL,VEDL,FUT,NSE,,INR,20150625,,,1000,,4,DATA
148,SUNPHARMA,SUNPHARMA,FUT,NSE,,INR,20150625,,,250,,4,DATA
149,VOLTAS,VOLTAS,FUT,NSE,,INR,20150625,,,1000,,4,DATA
150,IOC,IOC,FUT,NSE,,INR,20150625,,,1000,,4,DATA
151,JSWENERGY,JSWENERGY,FUT,NSE,,INR,20150625,,,2000,,4,DATA
152,GMRINFRA,GMRINFRA,FUT,NSE,,INR,20150625,,,9173,,4,DATA
153,IOB,IOB,FUT,NSE,,INR,20150625,,,4000,,4,DATA
154,ADANIENT,ADANIENT,FUT,NSE,,INR,20150625,,,500,,4,DATA
155,DHFL,DHFL,FUT,NSE,,INR,20150625,,,500,,4,DATA
156,PIDILITIN,PIDILITIND,FUT,NSE,,INR,20150625,,,500,,4,DATA
157,JPASSOCIA,JPASSOCIAT,FUT,NSE,,INR,20150625,,,8000,,4,DATA
158,NHPC,NHPC,FUT,NSE,,INR,20150625,,,10000,,4,DATA
159,SOUTHBANK,SOUTHBANK,FUT,NSE,,INR,20150625,,,9000,,4,DATA
160,END,END,END,END,END,END,,,,1,,4,DATA
