serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barsstarttime,streamingpriority,strategy
367,CANDC,CANDC,STK,NSE,,INR,,,,1,,100,
368,CADILAHC,CADILAHC,STK,NSE,,INR,,,,1,,4,ADR:CNX500
369,CAIRN,CAIRN,STK,NSE,,INR,,,,1,09:15:00?15:30:00?Asia/Kolkata,1,ADR:CNX500:NIFTY:IDT
370,CALSOFT,CALSOFT,STK,NSE,,INR,,,,1,,100,
371,XCHANGING,XCHANGING,STK,NSE,,INR,,,,1,,100,
372,CTE,CTE,STK,NSE,,INR,,,,1,,100,
373,KOKUYOCML,KOKUYOCMLN,STK,NSE,,INR,,,,1,,100,
374,CANFINHOM,CANFINHOME,STK,NSE,,INR,,,,1,,4,ADR:CNX500
375,CANBK,CANBK,STK,NSE,,INR,,,,1,09:15:00?15:30:00?Asia/Kolkata,1,ADR:CNX500:IDT
376,CRMFGETF,CRMFGETF,STK,NSE,,INR,,,,1,,100,
377,CANTABIL,CANTABIL,STK,NSE,,INR,,,,1,,100,
378,CARBORUNI,CARBORUNIV,STK,NSE,,INR,,,,1,,4,ADR:CNX500
379,CAREERP,CAREERP,STK,NSE,,INR,,,,1,,100,
380,CASTROLIN,CASTROLIND,STK,NSE,,INR,,,,1,,100,
381,CCL1,CCL,STK,NSE,,INR,,,,1,,100,
382,CEATLTD,CEATLTD,STK,NSE,,INR,,,,1,,100,
383,CELEBRITY,CELEBRITY,STK,NSE,,INR,,,,1,,100,
384,CELESTIAL,CELESTIAL,STK,NSE,,INR,,,,1,,100,
385,CENTRALBK,CENTRALBK,STK,NSE,,INR,,,,1,,4,ADR:CNX500
386,CENTUM,CENTUM,STK,NSE,,INR,,,,1,,100,
387,CENTENKA,CENTENKA,STK,NSE,,INR,,,,1,,4,ADR:CNX500
388,CENTEXT,CENTEXT,STK,NSE,,INR,,,,1,,100,
389,CENTURYPL,CENTURYPLY,STK,NSE,,INR,,,,1,,100,
390,CENTURYTE,CENTURYTEX,STK,NSE,,INR,,,,1,09:15:00?15:30:00?Asia/Kolkata,1,ADR:CNX500:IDT
391,CERA,CERA,STK,NSE,,INR,,,,1,,100,
392,CEREBRAIN,CEREBRAINT,STK,NSE,,INR,,,,1,,100,
393,CESC,CESC,STK,NSE,,INR,,,,1,09:15:00?15:30:00?Asia/Kolkata,1,ADR:CNX500:IDT
394,CHAMBLFER,CHAMBLFERT,STK,NSE,,INR,,,,1,,4,ADR:CNX500
395,CHEMFALKA,CHEMFALKAL,STK,NSE,,INR,,,,1,,100,
396,CHENNPETR,CHENNPETRO,STK,NSE,,INR,,,,1,,4,ADR:CNX500
397,CHESLINTE,CHESLINTEX,STK,NSE,,INR,,,,1,,100,
398,CHOLAFIN,CHOLAFIN,STK,NSE,,INR,,,,1,,4,ADR:CNX500
399,CHROMATIC,CHROMATIC,STK,NSE,,INR,,,,1,,100,
400,CNOVAPETR,CNOVAPETRO,STK,NSE,,INR,,,,1,,100,
401,CIMMCO,CIMMCO,STK,NSE,,INR,,,,1,,100,
402,CINELINE,CINELINE,STK,NSE,,INR,,,,1,,100,
403,CINEVISTA,CINEVISTA,STK,NSE,,INR,,,,1,,100,
404,CIPLA,CIPLA,STK,NSE,,INR,,,,1,09:15:00?15:30:00?Asia/Kolkata,1,ADR:CNX500:NIFTY:IDT
405,CUB,CUB,STK,NSE,,INR,,,,1,,4,ADR:CNX500
406,CLNINDIA,CLNINDIA,STK,NSE,,INR,,,,1,,4,ADR:CNX500
407,CLASSIC,CLASSIC,STK,NSE,,INR,,,,1,,100,
408,CLUTCHAUT,CLUTCHAUTO,STK,NSE,,INR,,,,1,,100,
409,CMC,CMC,STK,NSE,,INR,,,,1,,4,ADR:CNX500
410,COALINDIA,COALINDIA,STK,NSE,,INR,,,,1,09:15:00?15:30:00?Asia/Kolkata,1,ADR:CNX500:NIFTY:IDT
411,COLPAL,COLPAL,STK,NSE,,INR,,,,1,09:15:00?15:30:00?Asia/Kolkata,1,ADR:CNX500:IDT
412,CEBBCO,CEBBCO,STK,NSE,,INR,,,,1,,100,
413,COMPUAGE,COMPUAGE,STK,NSE,,INR,,,,1,,100,
414,COMPUSOFT,COMPUSOFT,STK,NSE,,INR,,,,1,,100,
415,CCCL,CCCL,STK,NSE,,INR,,,,1,,100,
416,CONSOFINV,CONSOFINVT,STK,NSE,,INR,,,,1,,100,
417,CONCOR,CONCOR,STK,NSE,,INR,,,,1,,4,ADR:CNX500
418,CORDSCABL,CORDSCABLE,STK,NSE,,INR,,,,1,,100,
