serialno,symbol,brokersymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barsstarttime,streamingpriority,strategy
219,IFBIND,IFBIND,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
220,IFCI,IFCI,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
221,IGL,IGL,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
222,IIFL,IIFL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
223,ILFSTRANS,IL&FSTRANS,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
224,INDHOTEL,INDHOTEL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
225,INDIACEM,INDIACEM,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
226,INDIANB,INDIANB,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
227,INDUSINDB,INDUSINDBK,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
228,INFRATEL,INFRATEL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
229,INFY,INFY,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
230,INGERRAND,INGERRAND,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
231,INOXLEISU,INOXLEISUR,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
232,IOB,IOB,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
233,IOC,IOC,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
234,IPCALAB,IPCALAB,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
235,IRB,IRB,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
236,ITC,ITC,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
237,ITDCEM,ITDCEM,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
238,IVRCLINFR,IVRCLINFRA,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
239,JKBK,J&KBANK,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
240,JAGRAN,JAGRAN,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
241,JAICORPLT,JAICORPLTD,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
242,JBCHEPHAR,JBCHEPHARM,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
243,JBFIND,JBFIND,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
244,JINDALSAW,JINDALSAW,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
245,JINDALSTE,JINDALSTEL,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
246,JISLJALEQ,JISLJALEQS,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
247,JKCEMENT,JKCEMENT,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
248,JKIL,JKIL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
249,JKLAKSHMI,JKLAKSHMI,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
250,JKTYRE,JKTYRE,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
251,JMFINANCI,JMFINANCIL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
252,JPASSOCIA,JPASSOCIAT,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
253,JPINFRATE,JPINFRATEC,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
254,JPPOWER,JPPOWER,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
255,JSL,JSL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
256,JSWENERGY,JSWENERGY,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
257,JSWHL,JSWHL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
258,JSWSTEEL,JSWSTEEL,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
259,JUBILANT,JUBILANT,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
260,JUBLFOOD,JUBLFOOD,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
261,JUSTDIAL,JUSTDIAL,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
262,JYOTHYLAB,JYOTHYLAB,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
263,JYOTISTRU,JYOTISTRUC,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
264,KAJARIACE,KAJARIACER,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
265,KALPATPOW,KALPATPOWR,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
266,KANSAINER,KANSAINER,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
267,KARURVYSY,KARURVYSYA,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
268,KCP,KCP,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
269,KEC,KEC,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
270,KESORAMIN,KESORAMIND,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
271,KITEX,KITEX,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
272,KKCL,KKCL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
273,KNRCON,KNRCON,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
274,KOLTEPATI,KOLTEPATIL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
275,KOTAKBANK,KOTAKBANK,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
276,KPIT,KPIT,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
277,KPRMILL,KPRMILL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
278,KSBPUMPS,KSBPUMPS,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
279,KSCL,KSCL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
280,KSK,KSK,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
281,KTKBANK,KTKBANK,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
282,LTFH,L&TFH,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
283,LAKSHVILA,LAKSHVILAS,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
284,LAOPALA,LAOPALA,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
285,LAXMIMACH,LAXMIMACH,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
286,LGBBROSLT,LGBBROSLTD,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
287,LICHSGFIN,LICHSGFIN,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
